user_id,screen_name,name,organization,position,gender,followers_count,following_count,tweet_count,user_created_at,verified,protected,original,quote,reply,retweet,tweets_in_dataset,tweets_in_dataset_bin
21702539,nancycordes,"Cordes, Nancy",CBS News,Congressional Correspondent,F,16202,426,1827,Mon Feb 23 22:35:47 +0000 2009,True,False,5.0,0.0,0.0,2.0,7.0,Bottom 90%
96569103,pamcoultercbs,"Coulter, Pam",CBS News,"Correspondent, CBS Radio",F,912,200,335,Sun Dec 13 15:31:01 +0000 2009,False,False,3.0,0.0,3.0,24.0,30.0,Bottom 90%
102238997,jancbs,"Crawford, Jan",CBS News,Chief Legal Correspondent,F,18413,1360,3099,Wed Jan 06 02:06:06 +0000 2010,True,False,2.0,4.0,0.0,2.0,8.0,Bottom 90%
70709534,wcronkite,"Cronkite, Walter",CBS News,Capitol Hill Producer,M,4043,1184,1883,Tue Sep 01 15:43:29 +0000 2009,False,False,36.0,0.0,0.0,25.0,61.0,Bottom 90%
22856985,steve_dorsey,"Dorsey, Steve",CBS News,"Correspondent, CBS Radio",M,1505,1583,9629,Thu Mar 05 01:01:20 +0000 2009,True,False,31.0,8.0,6.0,97.0,142.0,Bottom 90%
178082389,louisedufresne,"Dufresne, Louise",CBS News,Producer,F,1038,1979,2371,Fri Aug 13 20:44:29 +0000 2010,True,False,14.0,2.0,2.0,6.0,24.0,Bottom 90%
22189918,ardenfarhi,"Farhi, Arden",CBS News,White House Producer,M,3073,953,1917,Fri Feb 27 21:03:25 +0000 2009,True,False,3.0,1.0,0.0,2.0,6.0,Bottom 90%
59822164,cbsguy,"Finn, Martin",CBS News,"Producer, CBS This Morning",M,1040,1013,704,Fri Jul 24 16:20:57 +0000 2009,False,False,10.0,0.0,0.0,2.0,12.0,Bottom 90%
18943233,tomfoty,"Foty, Tom",CBS News,"Correspondent & Anchor, CBS Radio",M,1094,2130,1438,Tue Jan 13 16:37:49 +0000 2009,False,False,17.0,1.0,4.0,6.0,28.0,Bottom 90%
27959620,travisggaley,"Galey, Travis",CBS News,"Writer, Producer & Editor, CBS Newspath",M,97,293,599,Tue Mar 31 20:49:18 +0000 2009,False,False,0.0,0.0,0.0,0.0,0.0,
46176168,majorcbs,"Garrett, Major",CBS News,Chief White House Correspondent,M,174104,2406,22851,Wed Jun 10 17:50:33 +0000 2009,True,False,216.0,95.0,0.0,169.0,480.0,Bottom 90%
36129751,ttgaughan,"Gaughan, Timothy",CBS News,Vice President of News Gathering,M,2552,2595,2657,Tue Apr 28 17:48:08 +0000 2009,True,False,4.0,1.0,0.0,52.0,57.0,Bottom 90%
17869798,juliannagoldman,"Goldman, Julianna",CBS News,Correspondent,F,11050,1284,2879,Thu Dec 04 15:25:45 +0000 2008,False,False,4.0,0.0,3.0,13.0,20.0,Bottom 90%
58908090,hagerhoo,"Hager, Mary",CBS News,"Executive Producer, Face the Nation",F,2953,644,627,Tue Jul 21 20:20:55 +0000 2009,True,False,3.0,1.0,0.0,19.0,23.0,Bottom 90%
18986746,alanhe,"He, Alan",CBS News,Congressional Reporter,M,5218,1086,7034,Wed Jan 14 17:59:58 +0000 2009,True,False,113.0,38.0,13.0,225.0,389.0,Bottom 90%
1564249999,eliz_hinson,"Hinson, Elizabeth",CBS News,"Associate Producer, Face the Nation",F,340,673,659,Tue Jul 02 22:14:08 +0000 2013,True,False,0.0,0.0,0.0,6.0,6.0,Bottom 90%
199836680,cnhorn,"Horn, Caroline",CBS News,"Washington Senior Producer, CBS Evening News",F,3464,875,5561,Thu Oct 07 21:00:24 +0000 2010,False,False,12.0,0.0,0.0,11.0,23.0,Bottom 90%
