,screen_name,name,organization,position,gender,followers_count,following_count,tweet_count,user_created_at,verified,protected,original,quote,reply,retweet,tweets_in_dataset,reply_to_count,replying_count
16228326,ckmarie,"Foran, Clare M.",The Atlantic,Politics Writer,F,8119,4388,8896,Wed Sep 10 21:06:57 +0000 2008,True,False,214.0,35.0,68.0,149.0,466.0,43,5
342274679,VMMacchi,"Macchi, Victoria",Voice of America,Reporter,F,1373,2804,5782,Mon Jul 25 19:11:00 +0000 2011,True,False,82.0,19.0,71.0,89.0,261.0,43,1
19195094,RebeccaShabad,"Shabad, Rebecca Danielle",CBS News,Politics Reporter,F,8149,2273,76634,Mon Jan 19 18:38:52 +0000 2009,True,False,416.0,432.0,161.0,1520.0,2529.0,42,13
139738464,mj_lee,"Lee, MJ",CNN,National Political Reporter,F,31940,1061,10338,Mon May 03 14:41:10 +0000 2010,True,False,293.0,179.0,72.0,182.0,726.0,42,12
3319089207,AmeliaFrappolli,"Frappolli, Amelia",CQ Roll Call,Congressional Reporter,F,1164,849,2688,Thu Jun 11 15:38:44 +0000 2015,False,False,209.0,83.0,99.0,88.0,479.0,42,6
351893585,ElleBeyoud,"Beyoud, Lydia",Bloomberg BNA,Senior Tech & Telecom Reporter,F,2220,4999,5988,Tue Aug 09 21:36:45 +0000 2011,True,False,133.0,112.0,134.0,160.0,539.0,42,3
76611108,nahaltoosi,"Toosi, Nahal",Politico,Foreign Affairs Correspondent,F,9603,1128,10221,Wed Sep 23 10:32:14 +0000 2009,True,False,161.0,157.0,84.0,254.0,656.0,42,2
190360266,connorobrienNH,"O’Brien, Connor",Politico,Defense Reporter,M,6158,1995,17242,Mon Sep 13 19:16:14 +0000 2010,True,False,954.0,255.0,258.0,477.0,1944.0,41,15
455585786,KimberlyEAtkins,"Atkins, Kimberly",Boston Herald,Chief Washington Reporter/Columnist,F,2944,2691,6277,Thu Jan 05 08:26:46 +0000 2012,True,False,266.0,194.0,72.0,246.0,778.0,39,1
235664740,gbrockell,"Brockell, Gillian",Washingtonpost.com,Video Editor,F,2344,640,11743,Sat Jan 08 19:54:44 +0000 2011,True,False,162.0,171.0,332.0,643.0,1308.0,38,2
22891564,chrisgeidner,"Geidner, Chris",BuzzFeed,Legal Editor & Supreme Court Correspondent,M,83316,4858,205504,Thu Mar 05 06:48:00 +0000 2009,True,False,788.0,550.0,3917.0,989.0,6244.0,37,9
49805751,JuleykaLantigua,"Lantigua-Williams, Juleyka",National Public Radio,"Lead Editor & Producer, Code Switch",F,8150,595,23054,Mon Jun 22 23:20:54 +0000 2009,True,False,113.0,312.0,152.0,816.0,1393.0,37,4
195840597,JNicholsonInDC,"Nicholson, Jonathan",Bloomberg BNA,House & Budget Reporter,M,1639,894,18529,Mon Sep 27 18:10:27 +0000 2010,False,False,304.0,237.0,474.0,168.0,1183.0,36,17
275778448,jonquilynhill,"Hill, Jonquilyn",Time Warner Cable,Host and Reporter,F,1826,1380,18802,Sat Apr 02 00:14:52 +0000 2011,True,False,412.0,63.0,130.0,258.0,863.0,35,2
21252618,JakeSherman,"Sherman, Jacob S.",Politico,Senior Writer,M,81762,2855,40229,Wed Feb 18 23:01:53 +0000 2009,True,False,418.0,464.0,477.0,300.0,1659.0,34,20
172979014,rebekahmetzler,"Metzler, Rebekah",CNN,White House Editor,F,3537,296,15758,Sat Jul 31 03:03:39 +0000 2010,True,False,112.0,46.0,76.0,65.0,299.0,34,8
