,screen_name,name,organization,position,gender,followers_count,following_count,tweet_count,user_created_at,verified,protected,original,quote,reply,retweet,tweets_in_dataset,mention_count,mentioning_count
104914594,Phil_Mattingly,"Mattingly, Phil",CNN,Congressional Correspondent,M,40119,1565,37122,Thu Jan 14 19:59:21 +0000 2010,True,False,686.0,242.0,165.0,698.0,1791.0,48,23
89820928,mitchellreports,"Mitchell, Andrea",NBC News,Chief News Correspondent,F,1388543,1079,32973,Fri Nov 13 23:28:11 +0000 2009,True,False,500.0,93.0,21.0,809.0,1423.0,47,24
18637396,SaraMurray,"Murray, Sara",CNN,White House Correspondent,F,51918,1142,13094,Mon Jan 05 17:13:12 +0000 2009,True,False,63.0,61.0,30.0,387.0,541.0,47,18
240135871,emilyhholden,"Holden, Emily H.",E&E News,"Reporter, Climatewire",F,5200,2891,5805,Wed Jan 19 06:59:18 +0000 2011,True,False,220.0,61.0,175.0,139.0,595.0,47,17
103016675,AaronMehta,"Mehta, Aaron",Sightline Media Group,"Senior Pentagon Correspondent, DefenseNews",M,11124,582,42586,Fri Jan 08 15:53:25 +0000 2010,True,False,483.0,579.0,720.0,1042.0,2824.0,47,8
120233868,MarkLandler,"Landler, Mark",New York Times,White House Correspondent,M,21006,585,1974,Fri Mar 05 21:47:32 +0000 2010,True,False,39.0,1.0,0.0,1.0,41.0,46,11
119048111,barbarastarrcnn,"Starr, Barbara",CNN,Pentagon Correspondent,F,35410,947,9434,Tue Mar 02 14:22:12 +0000 2010,True,False,135.0,25.0,2.0,525.0,687.0,45,23
158072303,ValerieInsinna,"Insinna, Valerie",Defense News,Air Warfare Reporter,F,4572,681,10303,Mon Jun 21 18:11:02 +0000 2010,False,False,287.0,282.0,459.0,289.0,1317.0,45,5
292549803,PostRoz,"Helderman, Rosalind",Washington Post,Political Investigations & Enterprise Reporter,F,20966,1241,5187,Tue May 03 20:48:10 +0000 2011,True,False,116.0,1.0,7.0,27.0,151.0,44,20
61734492,Fahrenthold,"Fahrenthold, David",Washington Post,Political Reporter,M,451778,3457,27573,Fri Jul 31 09:29:37 +0000 2009,True,False,141.0,184.0,41.0,2505.0,2871.0,43,32
140286364,nielslesniewski,"Lesniewski, Niels P.",CQ Roll Call,Senior Senate Reporter,M,24670,2420,70213,Wed May 05 03:22:19 +0000 2010,False,False,559.0,300.0,94.0,457.0,1410.0,43,21
15463671,samstein,"Stein, Sam",Huffington Post,Senior Politics Editor,M,313211,1028,49109,Thu Jul 17 03:38:29 +0000 2008,True,False,429.0,172.0,168.0,115.0,884.0,43,20
189129306,kristinapet,"Peterson, Kristina",Wall Street Journal / Dow Jones,Congressional Reporter,F,6288,1250,4353,Fri Sep 10 13:20:18 +0000 2010,True,False,88.0,2.0,5.0,210.0,305.0,43,13
117082566,TheBrodyFile,"Brody, David",CBN News,White House Correspondent,M,11356,1140,13579,Wed Feb 24 13:43:43 +0000 2010,False,False,299.0,43.0,21.0,178.0,541.0,43,6
21534951,adamgoldmanNYT,"Goldman, Adam",New York Times,FBI & National Security Reporter,M,71083,347,21333,Sun Feb 22 01:33:40 +0000 2009,True,False,384.0,73.0,130.0,186.0,773.0,42,24
21215620,marykbruce,"Bruce, Mary",ABC News,Correspondent,F,12789,834,3583,Wed Feb 18 17:08:27 +0000 2009,True,False,137.0,33.0,0.0,49.0,219.0,42,17
32576041,ToryNewmyer,"Newmyer, Tory",Fortune Magazine,Washington Writer,F,1939,695,887,Fri Apr 17 20:49:12 +0000 2009,True,False,25.0,2.0,7.0,22.0,56.0,42,7
297532865,kwelkernbc,"Welker, Kristen",NBC News,White House Correspondent,F,99234,2679,2970,Thu May 12 17:28:26 +0000 2011,True,False,41.0,5.0,0.0,0.0,46.0,41,18
550762459,sfpathe,"Pathe, Simone F.",CQ Roll Call,Senior Political Reporter,F,2972,2683,5607,Wed Apr 11 06:46:22 +0000 2012,True,False,126.0,29.0,31.0,116.0,302.0,41,12
