,screen_name,name,organization,position,gender,followers_count,following_count,tweet_count,user_created_at,verified,protected,original,quote,reply,retweet,tweets_in_dataset,mention_count,mentioning_count
45604374,HouseInSession,"House, Billy",Bloomberg News,Congressional Correspondent,M,7026,671,4921,Mon Jun 08 16:30:40 +0000 2009,False,False,229.0,92.0,7.0,20.0,348.0,16,4
420832039,StephenLosey,"Losey, Stephen",Sightline Media Group,"Senior Writer, Air Force Times",M,2366,757,8241,Fri Nov 25 04:47:36 +0000 2011,True,False,75.0,72.0,180.0,117.0,444.0,16,3
47991586,GarrettHaake,"Haake, Garrett",MSNBC,Correspondent,M,22880,1793,22051,Wed Jun 17 15:14:33 +0000 2009,True,False,263.0,273.0,233.0,145.0,914.0,15,8
48581849,anitakumar01,"Kumar, Anita",McClatchy Newspapers,White House Correspondent,F,11040,1900,17353,Fri Jun 19 02:33:21 +0000 2009,True,False,494.0,33.0,0.0,71.0,598.0,15,7
177822689,umairfan,"Irfan, Umair",E&E News,Tech Reporter,M,528,750,2584,Fri Aug 13 04:12:37 +0000 2010,False,False,123.0,44.0,75.0,100.0,342.0,15,6
16753660,mikedebonis,"DeBonis, Mike",Washington Post,Congress Reporter,M,33572,1372,45050,Wed Oct 15 03:23:55 +0000 2008,True,False,248.0,122.0,239.0,243.0,852.0,15,4
37865281,lindsaywise,"Wise, Lindsay",Kansas City Star,Washington Correspondent,F,3748,5000,17045,Tue May 05 05:22:06 +0000 2009,False,False,306.0,114.0,16.0,1013.0,1449.0,15,4
22771961,Acosta,"Acosta, Jim",CNN,Senior White House Correspondent,M,350650,2874,26779,Wed Mar 04 13:48:04 +0000 2009,True,False,289.0,101.0,11.0,155.0,556.0,14,11
41704988,Kevinliptakcnn,"Liptak, Kevin",CNN,White House Producer,M,10100,782,2165,Thu May 21 23:50:49 +0000 2009,True,False,77.0,12.0,5.0,35.0,129.0,14,10
370489880,JoanneKenen,"Kenen, Joanne L.",Politico,"Executive Editor, Health",F,14762,1545,14992,Fri Sep 09 03:27:12 +0000 2011,True,False,204.0,148.0,129.0,360.0,841.0,14,9
