,screen_name,name,organization,position,gender,followers_count,following_count,tweet_count,user_created_at,verified,protected,original,quote,reply,retweet,tweets_in_dataset,reply_to_count,replying_count
140901881,rongxiang,"Ching, Nike",Voice of America,State Department Correspondent,F,3127,364,3909,Thu May 06 17:15:57 +0000 2010,False,False,157.0,43.0,28.0,101.0,329.0,26,1
49620730,AliABCNews,"Rogin, Ali",ABC News,Digital Reporter,F,21140,5071,12830,Mon Jun 22 13:01:32 +0000 2009,True,False,259.0,85.0,70.0,131.0,545.0,25,9
325277943,Curious_Kurz,"Kurzius, Rachel",DCist,Associate Editor,F,1973,1250,11555,Tue Jun 28 01:25:20 +0000 2011,False,False,208.0,148.0,177.0,165.0,698.0,25,9
15704971,sarahdwire,"Wire, Sarah",Los Angeles Times,Congressional Reporter,F,5473,1186,17584,Sat Aug 02 21:31:33 +0000 2008,True,False,335.0,50.0,39.0,252.0,676.0,25,4
824116194,EvieBlad,"Blad, Evie",Education Week,Reporter,F,3012,1549,9868,Fri Sep 14 22:40:30 +0000 2012,False,False,58.0,44.0,161.0,252.0,515.0,25,4
1692401,kerning,"Perks, Ashley J.",The Hill,Design Director,F,652,451,16074,Wed Mar 21 00:27:21 +0000 2007,False,False,74.0,22.0,94.0,54.0,244.0,25,2
233985354,AmandaBecker,"Becker, Amanda",Thomson Reuters,Financial Regulation Reporter,F,5610,1179,22732,Tue Jan 04 15:47:24 +0000 2011,True,False,338.0,175.0,53.0,531.0,1097.0,24,13
167511780,lindsemcpherson,"McPherson, Lindsey",CQ Roll Call,House Leadership Reporter,F,2404,1608,5026,Fri Jul 16 19:45:21 +0000 2010,True,False,108.0,40.0,27.0,46.0,221.0,24,6
15756288,lauraolson,"Olson, Laura",Allentown Morning Call,DC Correspondent,F,5249,2134,10569,Wed Aug 06 22:42:26 +0000 2008,True,False,100.0,47.0,32.0,102.0,281.0,24,2
15159913,JFKucinich,"Kucinich, Jacqueline",Daily Beast,Washington Bureau Chief,F,31210,2527,14109,Wed Jun 18 17:04:23 +0000 2008,True,False,35.0,60.0,32.0,150.0,277.0,23,16
397478799,TheOtherKeppler,"Keppler, Kristin Wilson",CNN,"Senior Producer, Capitol Hill",F,974,860,4206,Mon Oct 24 19:01:01 +0000 2011,False,False,88.0,98.0,99.0,162.0,447.0,23,11
57124794,annaedney,"Edney, Anna",Bloomberg News,Health Reporter,F,5323,646,3080,Wed Jul 15 20:19:26 +0000 2009,True,False,95.0,9.0,47.0,172.0,323.0,23,6
185349940,imolinarescnn,"Molinares-Hess, Ione Indira",CNN,"Washington Correspondent, CNN en Español",F,45943,403,5434,Tue Aug 31 19:47:50 +0000 2010,True,False,28.0,0.0,30.0,13.0,71.0,23,1
32995184,lucia_graves,"Graves, Lucia E.",Guardian US,Reporter,F,8337,2090,14815,Sat Apr 18 20:07:32 +0000 2009,True,False,69.0,17.0,59.0,126.0,271.0,22,11
109431937,mollymotoole,"O’Toole, Molly M.",Foreign Policy,Senior Reporter,F,8921,3103,17765,Fri Jan 29 01:25:29 +0000 2010,True,False,76.0,40.0,23.0,693.0,832.0,22,5
250912539,cimarcos,"Marcos, Cristina",The Hill,House Reporter,F,7099,1736,11647,Sat Feb 12 02:08:04 +0000 2011,True,False,239.0,35.0,23.0,185.0,482.0,22,5
711215300474064897,JackieTothDC,"Toth, Jacqueline",CQ Roll Call,"Energy & Environment Reporter, CQ Legal",F,456,1716,1145,Sat Mar 19 15:38:36 +0000 2016,False,False,167.0,9.0,40.0,62.0,278.0,22,5
203226736,SharylAttkisson,"Attkisson, Sharyl",Sinclair Broadcast Group,Investigative Journalist,F,132973,4483,24539,Fri Oct 15 20:25:13 +0000 2010,True,False,260.0,216.0,1458.0,220.0,2154.0,22,4
16441088,jestei,"Steinhauer, Jennifer",New York Times,Congress Reporter,F,13452,1000,11993,Wed Sep 24 21:03:18 +0000 2008,False,False,91.0,55.0,21.0,237.0,404.0,21,14
24398702,Allison_Good1,"Good, Allison",S&P Global Market Intelligence,Natural Gas Midstream Finance Reporter,F,3723,672,78508,Sat Mar 14 17:24:27 +0000 2009,False,False,209.0,132.0,101.0,308.0,750.0,21,7
264025526,elizacollins1,"Collins, Eliza S.",USA Today,Congressional Reporter,F,6695,3241,7772,Fri Mar 11 05:35:11 +0000 2011,True,False,381.0,199.0,58.0,361.0,999.0,21,4
15051061,anobleDC,"Noble, Andrea",Washington Times,Law Enforcement & Crime Reporter,F,2482,998,9033,Sun Jun 08 22:58:31 +0000 2008,False,False,161.0,35.0,32.0,51.0,279.0,21,2
14081659,jacqklimas,"Klimas, Jacqueline",Washington Examiner,Defense Reporter,F,4462,959,13769,Wed Mar 05 04:19:36 +0000 2008,True,False,209.0,33.0,30.0,136.0,408.0,20,9
209787354,RosJordanAJE,"Jordan, Rosiland",Aljazeera English,UN Correspondent,F,8073,6811,33322,Fri Oct 29 22:53:59 +0000 2010,True,False,147.0,138.0,224.0,792.0,1301.0,20,6
48459553,KatiePavlich,"Pavlich, Catherine",Townhall,Editor,F,408290,1515,42252,Thu Jun 18 19:29:32 +0000 2009,True,False,243.0,184.0,7.0,142.0,576.0,20,5
182627613,obrienc2,"O’Brien, Cortney",Townhall,Managing News Editor,F,2269,1383,33021,Wed Aug 25 01:15:08 +0000 2010,True,False,548.0,224.0,53.0,343.0,1168.0,19,4
25112718,SerenaMarsh,"Marshall, Serena",ABC News,Multi-Platform Reporter,F,4461,1468,16089,Wed Mar 18 17:31:02 +0000 2009,True,False,175.0,171.0,32.0,525.0,903.0,19,1
217083195,dliebelson,"Liebelson, Dana",Huffington Post,Reporter,F,15731,999,13401,Thu Nov 18 14:54:42 +0000 2010,True,False,154.0,35.0,31.0,185.0,405.0,18,11
247852986,rachanadixit,"Pradhan, Rachana D.",Politico,Healthcare Reporter,F,6178,1250,3731,Sat Feb 05 18:18:14 +0000 2011,True,False,71.0,53.0,54.0,82.0,260.0,18,11
47415772,JillDLawrence,"Lawrence, Jill Debra",USA Today,Commentary Editor & Columnist,F,13133,1889,31668,Mon Jun 15 19:13:39 +0000 2009,True,False,395.0,99.0,122.0,1089.0,1705.0,18,9
39448218,AGKootenay,"Grant, Annalee",S&P Global Market Intelligence,EPA Reporter,F,693,706,2562,Tue May 12 06:25:48 +0000 2009,False,False,52.0,19.0,51.0,57.0,179.0,18,7
127739478,rachelegross,"Gross, Rachel E.",Smithsonian Magazine,Online Science Edito,F,2325,756,2771,Tue Mar 30 03:09:44 +0000 2010,True,False,136.0,60.0,87.0,10.0,293.0,18,3
307982591,JaxAlemany,"Alemany, Jacqueline",CBS News,White House Reporter,F,12000,1890,7300,Mon May 30 16:43:13 +0000 2011,True,False,153.0,77.0,18.0,376.0,624.0,18,2
370489880,JoanneKenen,"Kenen, Joanne L.",Politico,"Executive Editor, Health",F,14762,1545,14992,Fri Sep 09 03:27:12 +0000 2011,True,False,204.0,148.0,129.0,360.0,841.0,17,14
15219854,OhMyGOFF,"Goff, Angie",WRC–TV / NBC–4,Reporter / Broadcast Journalist,F,55947,18197,79321,Tue Jun 24 14:22:52 +0000 2008,True,False,499.0,112.0,651.0,38.0,1300.0,17,10
462169232,ec_schneider,"Schneider, Elena C.",Politico,Campaign Reporter,F,4784,1161,13108,Thu Jan 12 17:03:02 +0000 2012,True,False,217.0,97.0,12.0,229.0,555.0,17,9
