,screen_name,name,organization,position,gender,followers_count,following_count,tweet_count,user_created_at,verified,protected,original,quote,reply,retweet,tweets_in_dataset,mention_count,mentioning_count
41704988,Kevinliptakcnn,"Liptak, Kevin",CNN,White House Producer,M,10100,782,2165,Thu May 21 23:50:49 +0000 2009,True,False,77.0,12.0,5.0,35.0,129.0,35,20
91386979,PeterAlexander,"Alexander, Peter",NBC News,National Correspondent,M,192392,485,2814,Fri Nov 20 17:37:33 +0000 2009,True,False,121.0,27.0,0.0,7.0,155.0,34,25
168290603,ToluseO,"Olorunnipa, Toluse",Bloomberg News,White House Reporter,M,6645,1055,8438,Sun Jul 18 23:26:05 +0000 2010,True,False,118.0,15.0,16.0,148.0,297.0,34,17
16547587,LeoShane,"Shane III, Leo",Sightline Media Group,"Congressional Reporter, Military Times",M,15464,423,30408,Wed Oct 01 18:19:22 +0000 2008,True,False,303.0,66.0,311.0,141.0,821.0,34,11
48029066,JamesRosenTV,"Rosen, James",Fox News,chief washington correspondent,M,179188,52196,24296,Wed Jun 17 16:58:41 +0000 2009,True,False,157.0,0.0,159.0,78.0,394.0,34,6
36890646,danmericaCNN,"Merica, Daniel",CNN,Political Producer,M,59283,2051,28914,Fri May 01 05:21:55 +0000 2009,True,False,379.0,189.0,46.0,97.0,711.0,32,23
23621827,DavidNakamura,"Nakamura, David",Washington Post,White House Reporter,M,28836,1002,12077,Tue Mar 10 17:42:56 +0000 2009,True,False,194.0,74.0,65.0,29.0,362.0,32,14
118130765,dylanlscott,"Scott, Dylan L.",Stat News,Washington Correspondent,M,20122,1646,42497,Sat Feb 27 18:03:36 +0000 2010,True,False,885.0,441.0,2040.0,594.0,3960.0,31,16
19847765,sahilkapur,"Kapur, Sahil",Bloomberg News,National Political Reporter,M,69086,530,51628,Sun Feb 01 05:18:57 +0000 2009,True,False,563.0,195.0,853.0,411.0,2022.0,31,13
16625082,ryanobles,"Nobles, Ryan",CNN,Washington Correspondent,M,22419,1507,30455,Tue Oct 07 03:16:20 +0000 2008,True,False,247.0,94.0,139.0,49.0,529.0,31,12
937099921,JimmyHKoo,"Koo, Jimmy H.",Bloomberg BNA,Senior Legal Editor,M,867,1303,3537,Fri Nov 09 15:00:59 +0000 2012,False,False,102.0,31.0,79.0,555.0,767.0,31,6
165204211,AndrewRestuccia,"Restuccia, Andrew M.",Politico,Senior Policy Reporter,M,16032,1959,8403,Sat Jul 10 22:40:04 +0000 2010,True,False,48.0,9.0,11.0,137.0,205.0,30,18
12245632,jackshafer,"Shafer, Jack",Politico,"Senior Media Writer, Politico Magazine",M,73996,974,44726,Tue Jan 15 00:39:38 +0000 2008,True,False,560.0,8.0,861.0,587.0,2016.0,30,14
