,followers_count,followers_count,followers_count,following_count,following_count,following_count,tweet_count,tweet_count,tweet_count,tweets_in_dataset,tweets_in_dataset,tweets_in_dataset
,sum,size,average,sum,size,average,sum,size,average,sum,size,average
Los Angeles Times,100075,17,5886.764705882353,22070,17,1298.235294117647,157861,17,9285.941176470587,4429.0,17.0,260.52941176470586
MLEX US,418,2,209.0,408,2,204.0,515,2,257.5,69.0,2.0,34.5
MRCTV,4064,2,2032.0,2450,2,1225.0,2928,2,1464.0,186.0,2.0,93.0
MSNBC,1732992,7,247570.2857142857,7815,7,1116.4285714285713,172691,7,24670.14285714286,3064.0,7.0,437.7142857142857
MTV News,101473,1,101473.0,1168,1,1168.0,80962,1,80962.0,966.0,1.0,966.0
Manifest,1800,1,1800.0,740,1,740.0,5752,1,5752.0,57.0,1.0,57.0
MapLight,6727,2,3363.5,2973,2,1486.5,19285,2,9642.5,1179.0,2.0,589.5
Market News International,1981,1,1981.0,2370,1,2370.0,13877,1,13877.0,225.0,1.0,225.0
MarketWatch,21940,6,3656.6666666666665,7403,6,1233.8333333333333,72969,6,12161.5,2847.0,6.0,474.5
Marketplace Radio,3420,2,1710.0,2319,2,1159.5,7171,2,3585.5,273.0,2.0,136.5
McClatchy,13972,10,1397.2,14481,10,1448.1,60102,10,6010.2,1671.0,10.0,167.1
McClatchy Newspapers,100695,22,4577.045454545455,30575,22,1389.7727272727273,274418,22,12473.545454545454,10027.0,22.0,455.77272727272725
MedPage Today,1942,2,971.0,1814,2,907.0,3594,2,1797.0,40.0,2.0,20.0
MedTech Insight,107,1,107.0,122,1,122.0,29,1,29.0,5.0,1.0,5.0
Media General,4707,2,2353.5,4084,2,2042.0,13306,2,6653.0,189.0,2.0,94.5
Merger Market of Financial Times,306,1,306.0,275,1,275.0,409,1,409.0,8.0,1.0,8.0
Metro Weekly,547,1,547.0,363,1,363.0,3811,1,3811.0,86.0,1.0,86.0
Mic,16181,1,16181.0,2118,1,2118.0,95033,1,95033.0,6383.0,1.0,6383.0
Military.com,11424,3,3808.0,6145,3,2048.3333333333335,42760,3,14253.333333333334,1951.0,3.0,650.3333333333334
MinnPost,1618,1,1618.0,931,1,931.0,4530,1,4530.0,116.0,1.0,116.0
Minneapolis Star Tribune,353,1,353.0,149,1,149.0,221,1,221.0,0.0,1.0,0.0
Montgomery County Sentinel,400,2,200.0,420,2,210.0,1159,2,579.5,78.0,2.0,39.0
Morning Consult,24795,9,2755.0,15382,9,1709.111111111111,115135,9,12792.777777777777,2898.0,9.0,322.0
Morning Edition,661,1,661.0,1173,1,1173.0,678,1,678.0,26.0,1.0,26.0
Mother Jones,22352,2,11176.0,763,2,381.5,24103,2,12051.5,491.0,2.0,245.5
NBC,286,1,286.0,538,1,538.0,3189,1,3189.0,287.0,1.0,287.0
NBC News,4803842,68,70644.73529411765,79138,68,1163.7941176470588,686808,68,10100.117647058823,16291.0,68.0,239.5735294117647
NBC Newschannel,4792,2,2396.0,2311,2,1155.5,9016,2,4508.0,37.0,2.0,18.5
NJ Advance Media,2307,1,2307.0,884,1,884.0,10308,1,10308.0,160.0,1.0,160.0
Nation,12204,2,6102.0,2732,2,1366.0,22108,2,11054.0,338.0,2.0,169.0
National Catholic Reporter,505,1,505.0,409,1,409.0,1673,1,1673.0,6.0,1.0,6.0
National Geographic Magazine,534,1,534.0,192,1,192.0,98,1,98.0,0.0,1.0,0.0
National Journal,112076,12,9339.666666666666,16992,12,1416.0,208344,12,17362.0,7681.0,12.0,640.0833333333334
National Law Journal,27815,4,6953.75,3900,4,975.0,14722,4,3680.5,507.0,4.0,126.75
National Mortgage News,115,1,115.0,13,1,13.0,22,1,22.0,0.0,1.0,0.0
National Public Radio,794179,53,14984.509433962265,56526,53,1066.5283018867924,325632,53,6144.0,9403.0,53.0,177.41509433962264
National Review,48119,1,48119.0,615,1,615.0,21695,1,21695.0,571.0,1.0,571.0
Nature,5186,2,2593.0,1631,2,815.5,5547,2,2773.5,90.0,2.0,45.0
NerdWallet,6243,1,6243.0,824,1,824.0,5856,1,5856.0,23.0,1.0,23.0
New Republic,71586,1,71586.0,722,1,722.0,96050,1,96050.0,3857.0,1.0,3857.0
New York ,125754,1,125754.0,995,1,995.0,54574,1,54574.0,858.0,1.0,858.0
New York Daily News,10779,1,10779.0,4288,1,4288.0,14270,1,14270.0,837.0,1.0,837.0
New York Post,6755,2,3377.5,1814,2,907.0,2384,2,1192.0,42.0,2.0,21.0
New York Times,1271089,29,43830.65517241379,39226,29,1352.6206896551723,414020,29,14276.551724137931,12239.0,29.0,422.0344827586207
New York Times Magazine,10537,1,10537.0,1145,1,1145.0,6708,1,6708.0,81.0,1.0,81.0
New Yorker,125180,1,125180.0,406,1,406.0,4087,1,4087.0,64.0,1.0,64.0
NewsMax,6669,1,6669.0,955,1,955.0,15820,1,15820.0,466.0,1.0,466.0
Newsday,1251,1,1251.0,970,1,970.0,9691,1,9691.0,256.0,1.0,256.0
Newsweek,43140,4,10785.0,8629,4,2157.25,45851,4,11462.75,1316.0,4.0,329.0
Nexstar Media Group,1269,1,1269.0,547,1,547.0,7405,1,7405.0,538.0,1.0,538.0
Omaha World-Herald,1993,1,1993.0,1161,1,1161.0,4751,1,4751.0,166.0,1.0,166.0
Ozy,1259,1,1259.0,515,1,515.0,5910,1,5910.0,61.0,1.0,61.0
PBS,1409,1,1409.0,814,1,814.0,480,1,480.0,15.0,1.0,15.0
PBS NewsHour,122931,25,4917.24,28308,25,1132.32,115019,25,4600.76,3063.0,25.0,122.52
People Magazine,268,1,268.0,74,1,74.0,219,1,219.0,12.0,1.0,12.0
Pew Charitable Trusts,1273,1,1273.0,1414,1,1414.0,6214,1,6214.0,204.0,1.0,204.0
Philadelphia Inquirer,9879,1,9879.0,1019,1,1019.0,25757,1,25757.0,641.0,1.0,641.0
Pittsburgh Post-Gazette,4181,1,4181.0,836,1,836.0,14113,1,14113.0,22.0,1.0,22.0
Politico,1191083,103,11563.912621359223,171564,103,1665.6699029126214,1514195,103,14700.922330097088,43669.0,103.0,423.97087378640776
Power Markets Today,236,1,236.0,413,1,413.0,524,1,524.0,23.0,1.0,23.0
Praetorian Digital,3252,1,3252.0,2763,1,2763.0,8060,1,8060.0,63.0,1.0,63.0
ProPublica,17635,1,17635.0,1157,1,1157.0,78207,1,78207.0,1642.0,1.0,1642.0
RTTV America,169740,20,8487.0,31179,20,1558.95,259920,20,12996.0,8509.0,20.0,425.45
