Node-Id,Node-Title,attribute-Is-Verified-1-Twitter JSON all,attribute-Tweets-Sent-Count-1-Twitter JSON all,inDegreeCentrality-1-Twitter JSON all,inDegreeCentrality-1-Twitter JSON all-unscaled,kcore-1-Twitter JSON all,kcore-1-Twitter JSON all-unscaled,totalDegreeCentrality-1-Twitter JSON all,totalDegreeCentrality-1-Twitter JSON all-unscaled,twitter-actualInfluencer-1-Twitter JSON all,twitter-actualInfluencer-1-Twitter JSON all-unscaled,twitter-averageMentionsPerTweet-1-Twitter JSON all,twitter-averageMentionsPerTweet-1-Twitter JSON all-unscaled,twitter-mostMentioned-1-Twitter JSON all,twitter-mostMentioned-1-Twitter JSON all-unscaled,twitter-numberOfFollowers-1-Twitter JSON all,twitter-numberOfFollowers-1-Twitter JSON all-unscaled,twitter-potentialConnectors-1-Twitter JSON all,twitter-potentialConnectors-1-Twitter JSON all-unscaled,twitter-potentialReach-1-Twitter JSON all,twitter-potentialReach-1-Twitter JSON all-unscaled,twitter-reciprocalMentionsCliqueCount-1-Twitter JSON all,twitter-reciprocalMentionsCliqueCount-1-Twitter JSON all-unscaled,twitter-totalMentionsDegree-1-Twitter JSON all,twitter-totalMentionsDegree-1-Twitter JSON all-unscaled,twitter-totalMentionsKcore-1-Twitter JSON all,twitter-totalMentionsKcore-1-Twitter JSON all-unscaled,twitter-totalMentionsPageRank-1-Twitter JSON all,twitter-totalReciprocalMentionsUnweighted-1-Twitter JSON all,twitter-totalReciprocalMentionsUnweighted-1-Twitter JSON all-unscaled,twitter-trustedSource-1-Twitter JSON all,twitter-trustedSource-1-Twitter JSON all-unscaled,twitter-wantsToBeInfluencer-1-Twitter JSON all,twitter-wantsToBeInfluencer-1-Twitter JSON all-unscaled,weakComponentMembers-5-Twitter JSON all,weakComponentMembers-3-Twitter JSON all,weakComponentMembers-4-Twitter JSON all,weakComponentMembers-2-Twitter JSON all,
47852292,WyattGoolsby,0,36,0,1,4.202e-04,1,0,1,2.002e-05,34639,0.009,0.028,0.003,6,3.630e-04,806,0,65522.375,4.010e-06,13412283,0,0,1.431e-06,24,0.002,4,1.744e-04,4.202e-04,1,8.403e-04,2,0,0,1,1,1,1,
138774153,timdevaney,0,32,0,0,0,0,0,0,0,1745,0,0,0,0,7.859e-04,1745,0,0,0,0,0,0,0,0,0,0,7.284e-05,0,0,0,0,0,0,233,13,68,35,
39564433,ryanjtracy,0,276,1.833e-05,102,0.005,11,3.324e-05,75,6.100e-04,1055421,0.123,0.370,0.013,30,0.002,3691,2.060e-05,68914272,3.912e-05,130865800,0.002,16,1.783e-05,299,0.006,14,3.399e-04,0.008,19,0.008,20,0.008,20,234,1,1,1,
46817943,brikeilarcnn,0,270,1.617e-05,90,0.008,18,2.482e-05,56,0.022,37646456,0.111,0.333,0.046,110,0.052,115509,2.590e-04,866309120,1.654e-04,553361152,0.002,16,2.457e-05,412,0.017,41,7.686e-04,0.008,20,0.022,53,0.016,38,1,1,1,1,
33908800,kevincorke,0,3420,7.584e-05,422,0.004,10,1.374e-05,31,0.007,12629504,0.041,0.123,0.014,34,0.096,213024,4.508e-04,1507969024,9.341e-05,312450528,1.487e-04,1,4.538e-05,761,0.008,18,2.195e-04,0.008,18,0.005,12,0.037,89,1,1,1,1,
605608408,GWMacGillivray,0,464,2.462e-05,137,0.004,9,1.729e-05,39,4.659e-04,806010,0.098,0.295,0.011,27,3.625e-04,805,9.321e-06,31178388,4.311e-05,144203456,5.946e-04,4,1.855e-05,311,0.007,17,2.201e-04,0.006,14,0.009,21,0.019,46,1,1,1,1,
159278421,AnnaMariaDP,0,997,1.887e-05,105,8.403e-04,2,0,2,4.203e-05,72725,0.035,0.105,0.004,9,6.661e-04,1479,5.845e-06,19551978,6.194e-06,20718922,0,0,1.264e-05,212,0.002,5,9.278e-05,8.403e-04,2,0.003,6,0.025,59,1,1,1,1,
16625082,ryanobles,0,1034,3.738e-05,208,0.010,23,6.294e-05,142,0.025,42846872,0.067,0.201,0.049,117,0.011,23329,1.218e-04,407591168,1.650e-04,551818112,0.016,107,4.413e-05,740,0.017,41,0.001,0.016,39,0.040,95,0.012,28,1,1,1,1,
587725632,HotakainenRob,0,183,7.368e-06,41,0.004,9,9.751e-06,22,1.085e-04,187646,0.075,0.224,0.009,21,4.251e-04,944,3.813e-06,12755848,1.022e-05,34192764,5.946e-04,4,7.753e-06,130,0.006,15,1.588e-04,0.004,9,0.006,14,0.005,11,1,1,1,1,
21512767,gayathriv,0,74,0,2,0,0,0,0,1.963e-06,3397,0.009,0.027,8.403e-04,2,5.976e-04,1327,0,236737.750,0,1096781.625,0,0,0,4,4.202e-04,1,7.441e-05,0,0,0,0,4.202e-04,1,1,1,69,1,
506375545,OswaldRachel,0,482,2.965e-05,165,0.005,11,1.950e-05,44,3.375e-04,583934,0.114,0.342,0.011,27,9.007e-04,2000,1.404e-05,46977568,1.454e-05,48634984,0.001,9,2.129e-05,357,0.007,16,1.899e-04,0.006,14,0.005,13,0.024,56,1,1,1,1,
