Attribute,Measure,Group,Min,Mean,Max,Stddev,
LANGUAGE_SENDER,kcore-1,Pt,0,0.004,0.008,0.003,
LANGUAGE_SENDER,kcore-1,De,0,0.004,0.008,0.003,
LANGUAGE_SENDER,kcore-1,Fi,0,0.004,0.008,0.003,
LANGUAGE_SENDER,kcore-1,Cy,0,0.004,0.008,0.003,
LANGUAGE_SENDER,kcore-1,Is,8.636e-04,0.005,0.008,0.003,
LANGUAGE_SENDER,kcore-1,Eu,0,0.004,0.008,0.003,
LANGUAGE_SENDER,kcore-1,Lv,0,0.004,0.008,0.003,
LANGUAGE_SENDER,kcore-1,Hi,0,0.003,0.008,0.003,
LANGUAGE_SENDER,kcore-1,Ko,0,0.004,0.008,0.003,
LANGUAGE_SENDER,kcore-1,Ru,0,0.004,0.008,0.003,
LANGUAGE_SENDER,kcore-1,Lt,0,0.004,0.008,0.003,
LANGUAGE_SENDER,kcore-1,Ar,0,0.002,0.006,0.002,
LANGUAGE_SENDER,kcore-1,Iw,0,0.004,0.008,0.003,
LANGUAGE_SENDER,kcore-1,Sl,0,0.003,0.008,0.002,
LANGUAGE_SENDER,kcore-1,Ja,0,0.003,0.008,0.003,
LANGUAGE_SENDER,kcore-1,Vi,4.318e-04,0.005,0.008,0.002,
LANGUAGE_SENDER,kcore-1,Uk,0,0.001,0.004,0.001,
LANGUAGE_SENDER,kcore-1,Zh,0,0.001,0.006,0.002,
LANGUAGE_SENDER,kcore-1,Fa,0,1.727e-04,4.318e-04,2.115e-04,
LANGUAGE_SENDER,kcore-1,Ur,0.001,0.003,0.004,0.002,
LANGUAGE_SENDER,kcore-1,My,0,0,0,0,
LANGUAGE_SENDER,kcore-1,Km,0,0,0,0,
LANGUAGE_SENDER,kcore-1,Sr,0,0,0,0,
LANGUAGE_SENDER,kcore-1,No Value,0,0,0,0,
LANGUAGE_SENDER,totalDegreeCentrality-1,En,0,2.312e-05,8.628e-04,5.966e-05,
LANGUAGE_SENDER,totalDegreeCentrality-1,Und,0,3.337e-05,8.628e-04,7.103e-05,
LANGUAGE_SENDER,totalDegreeCentrality-1,Ro,0,7.531e-05,8.628e-04,1.292e-04,
LANGUAGE_SENDER,totalDegreeCentrality-1,No,0,9.134e-05,8.628e-04,1.427e-04,
LANGUAGE_SENDER,totalDegreeCentrality-1,Pl,0,8.486e-05,8.628e-04,1.261e-04,
