"Total Degree","Frequency","TF-IDF","Action","Current Node Name","New Node Name","Current Node Class","New Node Class","Current Nodeset Name","New Nodeset Name","Current Node Type","New Node Type"
"732.0","585",,,"261962339",,"Agent",,"Agent",,"",
"86.0","47",,,"257131725",,"Agent",,"Agent",,"",
"135.0","34",,,"36511031",,"Agent",,"Agent",,"",
"3041.0","2016",,,"49031364",,"Agent",,"Agent",,"",
"316.0","111",,,"280664117",,"Agent",,"Agent",,"",
"621.0","200",,,"258885469",,"Agent",,"Agent",,"",
"2182.0","1350",,,"769641584",,"Agent",,"Agent",,"",
"164.0","62",,,"162225194",,"Agent",,"Agent",,"",
"74.0","31",,,"258877940",,"Agent",,"Agent",,"",
"756.0","286",,,"65277959",,"Agent",,"Agent",,"",
"244.0","67",,,"16299754",,"Agent",,"Agent",,"",
"353.0","100",,,"218347440",,"Agent",,"Agent",,"",
"2263.0","1085",,,"160547588",,"Agent",,"Agent",,"",
"6.0","3",,,"20634134",,"Agent",,"Agent",,"",
"5460.0","3761",,,"23911915",,"Agent",,"Agent",,"",
"11411.0","3692",,,"2467791",,"Agent",,"Agent",,"",
"6.0","3",,,"16449615",,"Agent",,"Agent",,"",
"462.0","184",,,"120180668",,"Agent",,"Agent",,"",
"99.0","41",,,"19867003",,"Agent",,"Agent",,"",
"2068.0","1430",,,"88750092",,"Agent",,"Agent",,"",
"1137.0","402",,,"21688902",,"Agent",,"Agent",,"",
"246.0","104",,,"2417586104",,"Agent",,"Agent",,"",
"3538.0","2064",,,"27058591",,"Agent",,"Agent",,"",
"23038.0","14599",,,"19576571",,"Agent",,"Agent",,"",
"6922.0","3654",,,"70511174",,"Agent",,"Agent",,"",
"3212.0","1135",,,"14515799",,"Agent",,"Agent",,"",
"5463.0","1994",,,"19107878",,"Agent",,"Agent",,"",
"46.0","13",,,"49586895",,"Agent",,"Agent",,"",
"127.0","65",,,"227037531",,"Agent",,"Agent",,"",
"110.0","48",,,"19932600",,"Agent",,"Agent",,"",
"857.0","297",,,"2347049341",,"Agent",,"Agent",,"",
"211.0","84",,,"30550346",,"Agent",,"Agent",,"",
"753.0","367",,,"57072084",,"Agent",,"Agent",,"",
"150.0","74",,,"22536055",,"Agent",,"Agent",,"",
"2.0","1",,,"135367057",,"Agent",,"Agent",,"",
"2.0","1",,,"66185093",,"Agent",,"Agent",,"",
"2.0","1",,,"33508506",,"Agent",,"Agent",,"",
"219.0","108",,,"260907612",,"Agent",,"Agent",,"",
"86.0","43",,,"7212562",,"Agent",,"Agent",,"",
"2.0","1",,,"210981245",,"Agent",,"Agent",,"",
"4.0","2",,,"20460104",,"Agent",,"Agent",,"",
"20.0","9",,,"13192972",,"Agent",,"Agent",,"",
"2.0","1",,,"17549883",,"Agent",,"Agent",,"",
"6.0","3",,,"25166595",,"Agent",,"Agent",,"",
"981.0","501",,,"123585060",,"Agent",,"Agent",,"",
"2.0","1",,,"3907126639",,"Agent",,"Agent",,"",
"6.0","3",,,"14996251",,"Agent",,"Agent",,"",
"12.0","6",,,"29852317",,"Agent",,"Agent",,"",
"206.0","76",,,"23618466",,"Agent",,"Agent",,"",
"4.0","2",,,"793531896470855680",,"Agent",,"Agent",,"",
"25.0","7",,,"2192324467",,"Agent",,"Agent",,"",
"4.0","1",,,"1883934601",,"Agent",,"Agent",,"",
"1016.0","438",,,"4970411",,"Agent",,"Agent",,"",
"251.0","68",,,"19988708",,"Agent",,"Agent",,"",
"5.0","1",,,"3499718354",,"Agent",,"Agent",,"",
"2.0","1",,,"253044272",,"Agent",,"Agent",,"",
"13.0","5",,,"15432119",,"Agent",,"Agent",,"",
"13577.0","8703",,,"104914594",,"Agent",,"Agent",,"",
"158.0","78",,,"1444015610",,"Agent",,"Agent",,"",
"181.0","69",,,"1177437224",,"Agent",,"Agent",,"",
"452.0","221",,,"15207668",,"Agent",,"Agent",,"",
"2931.0","1079",,,"14007532",,"Agent",,"Agent",,"",
"1782.0","619",,,"2167286587",,"Agent",,"Agent",,"",
"3027.0","1824",,,"139738464",,"Agent",,"Agent",,"",
"7455.0","4582",,,"17466186",,"Agent",,"Agent",,"",
"3294.0","1859",,,"163995093",,"Agent",,"Agent",,"",
"629.0","269",,,"297532865",,"Agent",,"Agent",,"",
"816.0","404",,,"15075999",,"Agent",,"Agent",,"",
"3770.0","1842",,,"167024520",,"Agent",,"Agent",,"",
"2990.0","1038",,,"23578274",,"Agent",,"Agent",,"",
"2809.0","1221",,,"15922214",,"Agent",,"Agent",,"",
"5729.0","2207",,,"407013776",,"Agent",,"Agent",,"",
"11444.0","7144",,,"46557945",,"Agent",,"Agent",,"",
"2012.0","1035",,,"397478799",,"Agent",,"Agent",,"",
"6515.0","3495",,,"39155029",,"Agent",,"Agent",,"",
"585.0","291",,,"2962994194",,"Agent",,"Agent",,"",
"8476.0","4772",,,"19186003",,"Agent",,"Agent",,"",
"3527.0","2074",,,"263473924",,"Agent",,"Agent",,"",
"4006.0","1482",,,"22771961",,"Agent",,"Agent",,"",
"14.0","7",,,"342887079",,"Agent",,"Agent",,"",
"2130.0","1111",,,"108617810",,"Agent",,"Agent",,"",
"1041.0","523",,,"22772264",,"Agent",,"Agent",,"",
"1852.0","784",,,"85131054",,"Agent",,"Agent",,"",
"8813.0","5143",,,"16930125",,"Agent",,"Agent",,"",
"7075.0","3707",,,"1132012321",,"Agent",,"Agent",,"",
"15.0","6",,,"372786339",,"Agent",,"Agent",,"",
"92.0","46",,,"15635604",,"Agent",,"Agent",,"",
"389.0","138",,,"1630896181",,"Agent",,"Agent",,"",
"927.0","282",,,"227837742",,"Agent",,"Agent",,"",
"119.0","40",,,"54320038",,"Agent",,"Agent",,"",
"3797.0","1654",,,"227790723",,"Agent",,"Agent",,"",
"7606.0","2776",,,"3108351",,"Agent",,"Agent",,"",
"1377.0","483",,,"360080772",,"Agent",,"Agent",,"",
"9.0","4",,,"2331120185",,"Agent",,"Agent",,"",
"34.0","17",,,"155954102",,"Agent",,"Agent",,"",
"8.0","4",,,"24404039",,"Agent",,"Agent",,"",
"3294.0","2534",,,"135558864",,"Agent",,"Agent",,"",
"1652.0","862",,,"82151660",,"Agent",,"Agent",,"",
"9741.0","5529",,,"136550204",,"Agent",,"Agent",,"",
"428.0","236",,,"14275291",,"Agent",,"Agent",,"",
"10.0","5",,,"234014087",,"Agent",,"Agent",,"",
"1159.0","390",,,"293314112",,"Agent",,"Agent",,"",
"3298.0","1403",,,"59603406",,"Agent",,"Agent",,"",
"6.0","2",,,"165128880",,"Agent",,"Agent",,"",
"56.0","24",,,"130600206",,"Agent",,"Agent",,"",
"6193.0","2792",,,"19847765",,"Agent",,"Agent",,"",
"2365.0","846",,,"20508720",,"Agent",,"Agent",,"",
"1271.0","404",,,"15742985",,"Agent",,"Agent",,"",
"22115.0","12247",,,"14529929",,"Agent",,"Agent",,"",
"494.0","247",,,"10228272",,"Agent",,"Agent",,"",
"136.0","63",,,"109639153",,"Agent",,"Agent",,"",
"389.0","181",,,"36764306",,"Agent",,"Agent",,"",
"298.0","144",,,"195550861",,"Agent",,"Agent",,"",
"152.0","66",,,"21348368",,"Agent",,"Agent",,"",
"5.0","1",,,"448256178",,"Agent",,"Agent",,"",
"68.0","27",,,"46715437",,"Agent",,"Agent",,"",
"1133.0","397",,,"150078976",,"Agent",,"Agent",,"",
"1149.0","478",,,"1548489476",,"Agent",,"Agent",,"",
"177.0","54",,,"2259809232",,"Agent",,"Agent",,"",
"89.0","26",,,"15327996",,"Agent",,"Agent",,"",
