Total Degree	Frequency	TF-IDF	Action	Current Node Name	New Node Name	Current Node Class	New Node Class	Current Nodeset Name	New Nodeset Name	Current Node Type	New Node Type
148.0	38		delete	18856867		Agent		Agent			
14.0	6		delete	40604613		Agent		Agent			
41.0	13		delete	16403943		Agent		Agent			
530.0	172		delete	17995040		Agent		Agent			
2.0	1		delete	52647524		Agent		Agent			
6.0	3		delete	66495289		Agent		Agent			
2.0	1		delete	455394184		Agent		Agent			
57.0	24		delete	18935711		Agent		Agent			
30.0	15		delete	44397959		Agent		Agent			
6.0	3		delete	2911268155		Agent		Agent			
6.0	3		delete	26276475		Agent		Agent			
458.0	140		delete	14844867		Agent		Agent			
2.0	1		delete	1199599764		Agent		Agent			
4.0	2		delete	3252036844		Agent		Agent			
24.0	12		delete	3656355436		Agent		Agent			
72.0	32		delete	7597712		Agent		Agent			
16.0	6		delete	137245465		Agent		Agent			
12.0	5		delete	24993788		Agent		Agent			
7.0	2		delete	275870482		Agent		Agent			
39.0	12		delete	3297022953		Agent		Agent			
1519.0	762		delete	39308549		Agent		Agent			
468.0	383			18943233		Agent		Agent			
355.0	109		delete	16297707		Agent		Agent			
242.0	114		delete	2963445730		Agent		Agent			
563.0	199		delete	18005085		Agent		Agent			
1519.0	1259		delete	294902433		Agent		Agent			
227.0	109		delete	817822089319161857		Agent		Agent			
1586.0	637		delete	35773039		Agent		Agent			
592.0	215		delete	47448886		Agent		Agent			
127.0	68			14477880		Agent		Agent			
6.0	3		delete	734874211135553537		Agent		Agent			
4.0	2		delete	41280851		Agent		Agent			
65.0	28		delete	808823195298103297		Agent		Agent			
624.0	208		delete	16101182		Agent		Agent			
132.0	66		delete	1536791610		Agent		Agent			
51.0	19		delete	170402958		Agent		Agent			
290.0	228			776569014		Agent		Agent			
18.0	6			245484736		Agent		Agent			
1639.0	959			18986746		Agent		Agent			
10638.0	3231		delete	299802277		Agent		Agent			
335.0	116		delete	153895662		Agent		Agent			
8.0	4		delete	487840423		Agent		Agent			
576.0	272		delete	22509548		Agent		Agent			
14.0	7		delete	904539540		Agent		Agent			
1774.0	917			250912539		Agent		Agent			
20.0	7		delete	2164909022		Agent		Agent			
79.0	37		delete	9508922		Agent		Agent			
58.0	21		delete	30205586		Agent		Agent			
11477.0	7872			19195094		Agent		Agent			
7190.0	4961			13262862		Agent		Agent			
5488.0	1950		delete	59331128		Agent		Agent			
30611.0	19961			21612122		Agent		Agent			
119.0	46		delete	331211313		Agent		Agent			
1048.0	419		delete	205392468		Agent		Agent			
1096.0	720			28713695		Agent		Agent			
7191.0	5558			313545488		Agent		Agent			
117.0	45		delete	757303975		Agent		Agent			
1362.0	1078			26596727		Agent		Agent			
6602.0	4047			140286364		Agent		Agent			
432.0	176		delete	218276360		Agent		Agent			
1856.0	930		delete	19394188		Agent		Agent			
126.0	61		delete	242376736		Agent		Agent			
5.0	1		delete	17797249		Agent		Agent			
14917.0	8737			104299137		Agent		Agent			
5151.0	2425			23232204		Agent		Agent			
3160.0	2471			169679157		Agent		Agent			
44.0	18		delete	8241232		Agent		Agent			
12.0	6		delete	45489263		Agent		Agent			
40.0	18		delete	119512652		Agent		Agent			
280.0	116		delete	24622734		Agent		Agent			
41.0	15		delete	314342661		Agent		Agent			
4.0	2		delete	18172909		Agent		Agent			
436.0	216		delete	783214		Agent		Agent			
172.0	63		delete	205965649		Agent		Agent			
83.0	25		delete	275686563		Agent		Agent			
107.0	48		delete	700784500658208768		Agent		Agent			
9629.0	2546		delete	34713362		Agent		Agent			
352.0	129		delete	5695632		Agent		Agent			
2.0	1		delete	854161552605405186		Agent		Agent			
86.0	39		delete	19426551		Agent		Agent			
2.0	1		delete	14543036		Agent		Agent			
12.0	5		delete	22843337		Agent		Agent			
4.0	2		delete	968277295		Agent		Agent			
1064.0	599			902971052		Agent		Agent			
27.0	6		delete	14112296		Agent		Agent			
4.0	2		delete	396267466		Agent		Agent			
2.0	1		delete	830087202092744707		Agent		Agent			
125.0	46		delete	40553282		Agent		Agent			
10.0	5		delete	281139034		Agent		Agent			
2105.0	1391			52724312		Agent		Agent			
7.0	2		delete	68119545		Agent		Agent			
378.0	159		delete	26834339		Agent		Agent			
181.0	89		delete	186613457		Agent		Agent			
7568.0	5773			16660725		Agent		Agent			
1264.0	402		delete	874916178		Agent		Agent			
8621.0	4878			92079350		Agent		Agent			
383.0	120		delete	52419540		Agent		Agent			
13988.0	8549			217550862		Agent		Agent			
4342.0	3040			15365623		Agent		Agent			
1901.0	979			757893380		Agent		Agent			
2566.0	1266			50325797		Agent		Agent			
3690.0	780			16187637		Agent		Agent			
149.0	54		delete	21188030		Agent		Agent			
104.0	37		delete	17291393		Agent		Agent			
699.0	316		delete	254117355		Agent		Agent			
541.0	181		delete	1176994477		Agent		Agent			
2944.0	1193			33653195		Agent		Agent			
9233.0	5427			375662595		Agent		Agent			
5665.0	3172			317980134		Agent		Agent			
19.0	9		delete	161791703		Agent		Agent			
262.0	120		delete	939091		Agent		Agent			
789.0	515			22856985		Agent		Agent			
3143.0	1500		delete	380648579		Agent		Agent			
2.0	1		delete	17001388		Agent		Agent			
86.0	28		delete	42971403		Agent		Agent			
9.0	2		delete	229958522		Agent		Agent			
2.0	1		delete	16309502		Agent		Agent			
5.0	1		delete	67232748		Agent		Agent			
47.0	22		delete	399452621		Agent		Agent			
2.0	1		delete	57850103		Agent		Agent			
398.0	140		delete	313525999		Agent		Agent			
12.0	6		delete	111033434		Agent		Agent			
