"carolefeldman","28585396","Feldman, Carole","Associated Press","Washington Director, News Operations & Finance","F","819","270","1134","Fri Apr 03 15:30:06 +0000 2009","True","False"
"annekflaherty","20601037","Flaherty, Anne","Associated Press","Washington Reporter","F","876","549","425","Wed Feb 11 16:34:52 +0000 2009","False","False"
"marcygordon","18666314","Gordon, Marcy","Associated Press","Reporter","F","6416","2005","25638","Tue Jan 06 07:24:31 +0000 2009","False","False"
"jessicagresko","22065061","Gresko, Jessica","Associated Press","Courts Reporter","F","2313","2125","2390","Thu Feb 26 21:30:26 +0000 2009","True","False"
"khefling","15485844","Hefling, Kimberly A.","Politico","Senior Education Writer","F","6989","4511","3389","Fri Jul 18 20:18:43 +0000 2008","True","False"
"khennessey","12654802","Hennessey, Kathleen","Associated Press","White House Reporter ","F","5522","953","7740","Thu Jan 24 20:08:20 +0000 2008","True","False"
"tomokohosaka","15035816","Hosaka, Tomoko","Associated Press","Economy Reporter","F","15225","3022","9344","Sat Jun 07 04:52:02 +0000 2008","True","False"
"mcjalonick","28414093","Jalonick, Mary Clare","Associated Press","Congress & Food Policy Reporter","F","4841","1880","1896","Thu Apr 02 20:35:34 +0000 2009","False","False"
"aplauriekellman","96781334","Kellman Blazar, Laurie","Associated Press","Political Reporter ","F","1710","5000","3289","Mon Dec 14 15:31:00 +0000 2009","False","False"
"llerer","12670512","Lerer, Lisa","Associated Press","National Politics Reporter","F","13606","1249","6875","Fri Jan 25 04:31:18 +0000 2008","True","False"
"ap_joan_lowy","16636428","Lowy, Joan","Associated Press","Transportation Reporter","F","3731","506","5742","Tue Oct 07 20:30:09 +0000 2008","True","False"
"jpacedc","28181835","Pace, Julie","Associated Press","White House Correspondent","F","42381","571","6785","Wed Apr 01 20:05:09 +0000 2009","True","False"
"sonyagal","20163751","Ross, Sonya","Associated Press","Race & Ethnicity Editor","F","1173","751","4017","Thu Feb 05 16:54:55 +0000 2009","False","False"
"michelesalcedo","22695254","Salcedo, Michele","Associated Press","Desk Editor","F","2077","1862","4672","Tue Mar 03 22:54:25 +0000 2009","True","False"
"esullivanap","19125732","Sullivan, Eileen","Associated Press","Reporter","F","2903","579","345","Sat Jan 17 22:07:13 +0000 2009","True","False"
"dsupervilleap","122735017","Superville, Darlene","Associated Press","White House Reporter","F","7265","1069","12497","Sat Mar 13 18:24:21 +0000 2010","True","False"
"ericawerner","33653195","Werner, Erica","Associated Press","Congressional Correspondent","F","11541","648","3935","Mon Apr 20 20:36:14 +0000 2009","True","False"
"trishwbelli","172705060","Wilson, Trish","Associated Press","International Investigations Editor","F","931","763","1900","Fri Jul 30 11:25:04 +0000 2010","False","False"
"hopeyen1","200709323","Yen, Hope","Associated Press","National Reporter","F","726","236","644","Sun Oct 10 01:21:04 +0000 2010","True","False"
"luisalonsolugo","62639813","Alonso, Luis","Associated Press","Reporter, AP Noticias","M","12058","11173","3421","Mon Aug 03 22:27:35 +0000 2009","True","False"
"mbieseck","37687262","Biesecker, Michael","Associated Press","Environment, Energy, & Investigative Reporter","M","3115","1674","2787","Mon May 04 15:49:07 +0000 2009","True","False"
"joshboak","267941781","Boak, Josh","Associated Press","Economics Writer","M","1787","776","7076","Thu Mar 17 21:15:11 +0000 2011","False","False"
"borenbears","39800314","Borenstein, Seth","Associated Press","Science Writer","M","10707","1616","5692","Wed May 13 17:39:21 +0000 2009","True","False"
"robertburnsap","49105997","Burns, Robert","Associated Press","National Security Reporter","M","12155","1139","2681","Sat Jun 20 20:12:07 +0000 2009","True","False"
"matthewdalywdc","31464192","Daly, Matthew","Associated Press","Congressional Reporter","M","9019","3760","6950","Wed Apr 15 17:37:30 +0000 2009","True","False"
"kendilaniannbc","325001316","Dilanian, Ken","Associated Press","Intelligence & National Security Reporter","M","36539","1709","12568","Mon Jun 27 15:38:01 +0000 2011","True","False"
"jpdrinkard","253761367","Drinkard, Jim","Associated Press","Editor","M","411","148","426","Thu Feb 17 22:36:13 +0000 2011","False","False"
"asfram","17813820","Fram, Alan","Associated Press","Congressional Reporter","M","826","388","63","Tue Dec 02 18:11:52 +0000 2008","False","False"
"apkfreking","257091348","Freking, Kevin","Associated Press","Capitol Hill Reporter","M","862","699","553","Thu Feb 24 18:19:16 +0000 2011","False","False"
"jackgillum","16713948","Gillum, Jack","Associated Press","Washington Investigative Reporter","M","5552","953","9695","Mon Oct 13 00:21:16 +0000 2008","True","False"
"kguggenheim","244148756","Guggenheim, Ken","Associated Press","News Editor, Washington","M","905","369","406","Fri Jan 28 16:37:42 +0000 2011","True","False"
"jessejholland","16439882","Holland, Jesse","Associated Press","Race & Ethnicity Writer","M","2320","1082","842","Wed Sep 24 19:48:10 +0000 2008","False","False"
"bklapperap","154233179","Klapper, Bradley","Associated Press","Acting National Security Editor","M","3317","391","1549","Thu Jun 10 18:32:21 +0000 2010","True","False"
"rplardner","552204936","Lardner, Richard","Associated Press","Reporter","M","600","331","777","Thu Apr 12 19:51:51 +0000 2012","False","False"
"joshledermanap","23911915","Lederman, Josh","Associated Press","Foreign Policy & National Security Reporter","M","22592","2759","28280","Thu Mar 12 06:26:39 +0000 2009","True","False"
"wjlester","28913831","Lester, William","Associated Press","Washington Editor","M","2282","2506","20608","Sun Apr 05 01:34:25 +0000 2009","True","False"
"michelleminkoff","15817979","Minkoff, Michelle","Associated Press","Data Journalist","M","5379","3986","7948","Tue Aug 12 03:16:45 +0000 2008","True","False"
"apbennuckols","67325576","Nuckols, Ben","Associated Press","D.C. Government & Poltiics Reporter","M","6791","2014","7297","Thu Aug 20 14:17:42 +0000 2009","True","False"
"stephenatap","49729058","Ohlemacher, Stephen","Associated Press","Congress Reporter","M","2702","707","3297","Mon Jun 22 19:09:41 +0000 2009","True","False"
"mattpenn_99","143745416","Pennington, Matthew","Associated Press","Reporter on US-Asian Affairs ","M","864","384","789","Fri May 14 08:33:16 +0000 2010","False","False"
"sppeoples","87498687","Peoples, Steve","Associated Press","National Politics Reporter","M","13487","3018","7232","Wed Nov 04 18:25:48 +0000 2009","True","False"
"chrisrugaber","225163993","Rugaber, Chris","Associated Press","Employment & Economy Reporter","M","3275","2025","5687","Fri Dec 10 21:31:12 +0000 2010","True","False"
"davidthornhill","28360658","Scott, David","Associated Press","U.S. Political Editor","M","1105","307","2576","Thu Apr 02 15:46:13 +0000 2009","True","False"
"shermancourt","31450658","Sherman, Mark","Associated Press","Reporter","M","5343","178","1061","Wed Apr 15 16:42:06 +0000 2009","True","False"
"apandrewtaylor","245412130","Taylor, Andrew","Associated Press","Congress Reporter","M","4097","992","2752","Mon Jan 31 16:55:46 +0000 2011","False","False"
"kthomasdc","15463486","Thomas, Ken","Associated Press","White House Reporter","M","20200","1993","26683","Thu Jul 17 03:16:45 +0000 2008","True","False"
"etuckerap","145313067","Tucker, Eric","Associated Press","Justice Department Reporter","M","4611","1674","6661","Tue May 18 17:13:39 +0000 2010","False","False"
