Node-Id,Node-Title,attribute-Is-Verified-1-Twitter JSON all_filtered,attribute-Tweets-Sent-Count-1-Twitter JSON all_filtered,inDegreeCentrality-1-Twitter JSON all_filtered,inDegreeCentrality-1-Twitter JSON all_filtered-unscaled,kcore-1-Twitter JSON all_filtered,kcore-1-Twitter JSON all_filtered-unscaled,totalDegreeCentrality-1-Twitter JSON all_filtered,totalDegreeCentrality-1-Twitter JSON all_filtered-unscaled,twitter-actualInfluencer-1-Twitter JSON all_filtered,twitter-actualInfluencer-1-Twitter JSON all_filtered-unscaled,twitter-averageMentionsPerTweet-1-Twitter JSON all_filtered,twitter-averageMentionsPerTweet-1-Twitter JSON all_filtered-unscaled,twitter-mostMentioned-1-Twitter JSON all_filtered,twitter-mostMentioned-1-Twitter JSON all_filtered-unscaled,twitter-numberOfFollowers-1-Twitter JSON all_filtered,twitter-numberOfFollowers-1-Twitter JSON all_filtered-unscaled,twitter-potentialConnectors-1-Twitter JSON all_filtered,twitter-potentialConnectors-1-Twitter JSON all_filtered-unscaled,twitter-potentialReach-1-Twitter JSON all_filtered,twitter-potentialReach-1-Twitter JSON all_filtered-unscaled,twitter-reciprocalMentionsCliqueCount-1-Twitter JSON all_filtered,twitter-reciprocalMentionsCliqueCount-1-Twitter JSON all_filtered-unscaled,twitter-totalMentionsDegree-1-Twitter JSON all_filtered,twitter-totalMentionsDegree-1-Twitter JSON all_filtered-unscaled,twitter-totalMentionsKcore-1-Twitter JSON all_filtered,twitter-totalMentionsKcore-1-Twitter JSON all_filtered-unscaled,twitter-totalMentionsPageRank-1-Twitter JSON all_filtered,twitter-totalReciprocalMentionsUnweighted-1-Twitter JSON all_filtered,twitter-totalReciprocalMentionsUnweighted-1-Twitter JSON all_filtered-unscaled,twitter-trustedSource-1-Twitter JSON all_filtered,twitter-trustedSource-1-Twitter JSON all_filtered-unscaled,twitter-wantsToBeInfluencer-1-Twitter JSON all_filtered,twitter-wantsToBeInfluencer-1-Twitter JSON all_filtered-unscaled,weakComponentMembers-5-Twitter JSON all_filtered,weakComponentMembers-3-Twitter JSON all_filtered,weakComponentMembers-4-Twitter JSON all_filtered,weakComponentMembers-2-Twitter JSON all_filtered,
41312893,ABC7Kevin,0,309,1.123e-05,11,8.722e-04,2,8.703e-06,9,0.003,1185613,0.013,0.036,0.014,33,0.002,3593,2.419e-06,1540663.875,1.668e-04,106277304,0,0,6.287e-05,139,0.004,9,8.141e-04,0.001,3,0.013,29,8.722e-04,2,2,1,3,2,
57754211,Joenewsguy,0,154,3.879e-05,38,4.361e-04,1,0,1,6.238e-04,248373,0.090,0.247,0.003,8,3.790e-04,840,2.107e-05,13421724,8.096e-05,51571228,0,0,3.528e-05,78,0.002,5,1.819e-04,4.361e-04,1,0.003,7,0.007,16,2,1,3,2,
235216696,nbcaaron,0,368,7.555e-05,74,0.002,5,4.061e-05,42,0.003,1230695,0.073,0.201,0.011,25,0.008,16804,3.339e-05,21272220,5.678e-05,36166892,0.012,5,8.141e-05,180,0.003,7,9.620e-04,0.003,8,0.003,7,0.004,10,2,1,3,2,
17113349,nhageradio,0,244,5.921e-05,58,8.722e-04,2,1.064e-05,11,2.559e-04,101873,0.086,0.238,0.005,11,0.002,4841,5.035e-05,32074136,3.781e-05,24086892,0,0,4.387e-05,97,0.003,7,2.743e-04,0.001,3,0.001,3,0.007,15,2,1,3,2,
27962143,TShields3,0,14,0,1,0,0,0,0,3.974e-05,15824,0.026,0.071,0.003,6,4.350e-04,964,0,0,5.247e-06,3342346,0,0,4.975e-06,11,0.002,5,2.145e-04,0,0,8.722e-04,2,0,0,336,1,174,2,
1322522821,Brendan_McGarry,0,77,4.288e-05,42,8.722e-04,2,3.094e-05,32,5.869e-04,233685,0.198,0.545,0.003,8,6.123e-04,1357,5.739e-05,36557776,5.680e-05,36182860,0,0,4.161e-05,92,0.003,6,1.411e-04,8.722e-04,2,0.001,3,0.002,4,2,1,3,2,
262691862,maryaliceparks,0,109,5.002e-05,49,0.003,6,3.288e-05,34,0.019,7523581,0.163,0.450,0.012,27,0.006,13085,7.805e-05,49717448,2.358e-04,150173488,0.024,10,7.960e-05,176,0.007,15,7.255e-04,0.005,12,0.007,17,0.002,4,2,1,3,2,
171212125,CorrinAmber,0,0,0,0,0,0,0,0,1.687e-04,67184,0,0,0.001,3,0,0,0,0,3.837e-05,24443848,0,0,2.261e-06,5,0.001,3,9.098e-05,0,0,0,0,0,0,337,1,175,78,
47598412,ShanicaJohnson,0,286,3.063e-05,30,4.361e-04,1,0,1,3.340e-05,13297,0.038,0.105,0.001,3,6.457e-04,1431,2.069e-05,13177514,1.308e-05,8330978,0,0,2.533e-05,56,8.722e-04,2,8.398e-05,4.361e-04,1,0,0,0.009,21,2,1,3,2,
97135722,lanesam,0,35,5.104e-06,5,0,0,0,0,2.076e-05,8265,0.052,0.143,4.361e-04,1,2.946e-04,653,0,487126.156,1.045e-05,6658921.500,0,0,4.071e-06,9,4.361e-04,1,9.168e-05,0,0,4.361e-04,1,8.722e-04,2,2,1,176,2,
3452228235,andrea_shalal,0,41,2.042e-06,2,0,0,0,0,8.242e-05,32815,0.018,0.049,0.002,4,2.364e-04,524,0,0,1.985e-05,12646384,0,0,2.261e-06,5,0.001,3,8.834e-05,0,0,0,0,0,0,2,1,177,79,
15925218,yehle,0,3,0,0,0,0,0,0,0,273,0,0,0,0,1.232e-04,273,0,0,0,0,0,0,0,0,0,0,8.143e-05,0,0,0,0,0,0,338,30,178,80,
63189965,ABC7John,0,255,3.675e-05,36,8.722e-04,2,1.257e-05,13,5.635e-04,224346,0.051,0.141,0.009,21,0.001,3169,5.141e-06,3274677,4.679e-05,29802360,0,0,4.252e-05,94,0.003,6,8.402e-04,0.002,4,0.005,11,0.001,3,2,1,3,2,
463028527,SeanGHiggins,0,14,0,1,0,0,0,0,2.676e-05,10655,0.026,0.071,4.361e-04,1,8.009e-04,1775,0,514990.438,1.015e-05,6466601,0,0,0,2,4.361e-04,1,8.412e-05,0,0,0,0,0,0,339,1,179,81,
30977516,JasonCalvi,0,237,3.369e-05,33,8.722e-04,2,1.354e-05,14,2.727e-04,108584,0.051,0.139,0.003,8,0.001,2916,4.384e-06,2792532.250,1.471e-05,9370538,0,0,2.623e-05,58,0.001,3,4.012e-04,0.002,5,0.003,6,0.001,3,2,1,3,2,
14305039,DavidEldridge,0,2,0,1,0,0,0,0,1.253e-06,499,0.182,0.500,0,0,2.251e-04,499,0,255862.750,0,0,0,0,0,1,0,0,8.143e-05,0,0,0,0,0,0,340,1,180,82,
