Attribute,Measure,Group,Min,Mean,Max,Stddev,
IS_VERIFIED,twitter-totalReciprocalMentionsUnweighted-1,1,0,0.004,0.061,0.006,
IS_VERIFIED,twitter-totalReciprocalMentionsUnweighted-1,No Value,0,9.737e-04,0.025,0.002,
IS_VERIFIED,twitter-trustedSource-1,1,0,0.009,0.165,0.015,
IS_VERIFIED,twitter-trustedSource-1,No Value,0,0.001,0.040,0.003,
IS_VERIFIED,twitter-wantsToBeInfluencer-1,1,0,0.008,0.113,0.011,
IS_VERIFIED,twitter-wantsToBeInfluencer-1,No Value,0,0.003,0.101,0.007,
IS_VERIFIED,weakComponentMembers-2,1,2,18.347,433,67.092,
IS_VERIFIED,weakComponentMembers-2,No Value,1,74.305,434,124.626,
IS_VERIFIED,weakComponentMembers-3,1,1,6.390,243,29.291,
IS_VERIFIED,weakComponentMembers-3,No Value,1,23.686,244,55.982,
IS_VERIFIED,weakComponentMembers-4,1,3,75.471,811,179.727,
IS_VERIFIED,weakComponentMembers-4,No Value,1,239.042,812,270.303,
IS_VERIFIED,weakComponentMembers-5,1,2,102.133,889,209.141,
IS_VERIFIED,weakComponentMembers-5,No Value,1,265.062,890,305.956,
LOCATION,inDegreeCentrality-1,"Centralia, WA",4.065e-06,4.065e-06,4.065e-06,0,
LOCATION,inDegreeCentrality-1,"Washington, DC",0,8.431e-05,0.002,1.552e-04,
LOCATION,inDegreeCentrality-1,"Washington, D. C.",2.303e-05,3.523e-05,4.742e-05,1.219e-05,
LOCATION,inDegreeCentrality-1,"I wander...Journalist, author, wanderer. Founder of @Fundaorth",6.775e-06,6.775e-06,6.775e-06,0,
LOCATION,inDegreeCentrality-1,"Washington, DC ",0,7.673e-05,4.092e-04,1.167e-04,
LOCATION,inDegreeCentrality-1,"Washington, D.C.",0,9.678e-05,0.001,1.550e-04,
LOCATION,inDegreeCentrality-1,Washington DC,0,4.549e-05,7.656e-04,9.346e-05,
LOCATION,inDegreeCentrality-1,"Springfield, Va.",2.886e-04,2.886e-04,2.886e-04,0,
LOCATION,inDegreeCentrality-1,Task & Purpose,1.694e-04,1.694e-04,1.694e-04,0,
LOCATION,inDegreeCentrality-1,"Arlington, Va.",0,1.636e-04,6.910e-04,2.351e-04,
LOCATION,inDegreeCentrality-1,Washington,0,1.384e-04,0.001,2.379e-04,
LOCATION,inDegreeCentrality-1,Eastern Market,1.585e-04,1.585e-04,1.585e-04,0,
LOCATION,inDegreeCentrality-1,"Laurel, MD/Washington, D.C.",2.032e-05,2.032e-05,2.032e-05,0,
LOCATION,inDegreeCentrality-1,Washington D.C.,0,6.834e-05,7.208e-04,1.258e-04,
LOCATION,inDegreeCentrality-1,"Los Angeles, CA",0,6.233e-05,3.089e-04,9.443e-05,
LOCATION,inDegreeCentrality-1,District of Columbia,0,6.850e-05,2.723e-04,8.231e-05,
LOCATION,inDegreeCentrality-1,"Washington, D.C., and Missouri",3.469e-04,3.469e-04,3.469e-04,0,
LOCATION,inDegreeCentrality-1,"New York, NY",0,6.434e-05,4.824e-04,1.101e-04,
LOCATION,inDegreeCentrality-1,New Yorker in D.C. ,2.019e-04,2.019e-04,2.019e-04,0,
LOCATION,inDegreeCentrality-1,"Capitol Hill, Washington, D.C.",3.767e-04,3.767e-04,3.767e-04,0,
LOCATION,inDegreeCentrality-1,"Arlington, VA",0,4.522e-05,2.439e-04,5.806e-05,
LOCATION,inDegreeCentrality-1,"Miami Beach, FL",6.368e-05,6.368e-05,6.368e-05,0,
LOCATION,inDegreeCentrality-1,"Capitol Hill, DC",6.030e-04,6.030e-04,6.030e-04,0,
LOCATION,inDegreeCentrality-1,A hallway in the Capitol.,3.618e-04,3.618e-04,3.618e-04,0,
LOCATION,inDegreeCentrality-1,"Washington, DC & airplanes",7.750e-04,7.750e-04,7.750e-04,0,
LOCATION,inDegreeCentrality-1,"The 703, 202, 504 or on the road",9.905e-04,9.905e-04,9.905e-04,0,
LOCATION,inDegreeCentrality-1,DC,0,6.972e-05,4.200e-04,9.719e-05,
LOCATION,inDegreeCentrality-1,Ajchavar.com,1.247e-04,1.247e-04,1.247e-04,0,
LOCATION,inDegreeCentrality-1,NY | DC,1.490e-04,1.490e-04,1.490e-04,0,
LOCATION,inDegreeCentrality-1,Davidson or D.C. or ...,2.439e-04,2.439e-04,2.439e-04,0,
LOCATION,inDegreeCentrality-1,"Washington, d.c.",6.775e-06,1.233e-04,2.927e-04,1.136e-04,
LOCATION,inDegreeCentrality-1,The Capitol,5.528e-04,5.528e-04,5.528e-04,0,
LOCATION,inDegreeCentrality-1,New York City,1.355e-06,2.642e-05,9.891e-05,4.187e-05,
LOCATION,inDegreeCentrality-1,"Washington, D.C., USA",1.003e-04,1.294e-04,1.585e-04,2.913e-05,
LOCATION,inDegreeCentrality-1,DC-area,2.642e-04,2.642e-04,2.642e-04,0,
LOCATION,inDegreeCentrality-1,Cecil D. Andrus-White Clouds Wilderness,3.157e-04,3.157e-04,3.157e-04,0,
LOCATION,inDegreeCentrality-1,"Capitol Hill, Washington",2.710e-06,1.107e-04,3.157e-04,1.451e-04,
LOCATION,inDegreeCentrality-1,D.C. | Middlebury | London,5.691e-05,5.691e-05,5.691e-05,0,
LOCATION,inDegreeCentrality-1,The White House+points afield,7.588e-05,7.588e-05,7.588e-05,0,
LOCATION,inDegreeCentrality-1,The District,4.065e-06,8.062e-05,1.572e-04,7.656e-05,
